Dataset, #TrainingRelease, %training, %Defective in training, %Defective in testing, Classifier, Feature Selection, Balancing, TP, FP, TN, FN, Precision, Recall, ROC Area, Kappa
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.2021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_SAMPLING, 64.0, 182.0, 189.0, 30.0, 0.863013698630137, 0.5094339622641509, 0.6576676033721397, 0.1186567964810642
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.2021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, OVER_SAMPLING, 68.0, 148.0, 223.0, 26.0, 0.8955823293172691, 0.601078167115903, 0.6901846647932557, 0.21857796836066526
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.2021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, UNDER_SAMPLING, 65.0, 183.0, 188.0, 29.0, 0.8663594470046083, 0.5067385444743935, 0.6590296495956873, 0.12300055157198013
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.2021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, SMOTE, 65.0, 189.0, 182.0, 29.0, 0.8625592417061612, 0.49056603773584906, 0.6563772437919367, 0.11131956376897978
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.2021505376344086, NAIVE_BAYES, BEST_FIRST, NO_SAMPLING, 69.0, 189.0, 182.0, 25.0, 0.8792270531400966, 0.49056603773584906, 0.6715891495096633, 0.1360179204000834
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.2021505376344086, NAIVE_BAYES, BEST_FIRST, OVER_SAMPLING, 89.0, 212.0, 159.0, 5.0, 0.9695121951219512, 0.42857142857142855, 0.6770373344038538, 0.20601635100364318
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.2021505376344086, NAIVE_BAYES, BEST_FIRST, UNDER_SAMPLING, 69.0, 195.0, 176.0, 25.0, 0.8756218905472637, 0.4743935309973046, 0.6767505878304755, 0.12442869614337801
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.2021505376344086, NAIVE_BAYES, BEST_FIRST, SMOTE, 76.0, 193.0, 178.0, 18.0, 0.9081632653061225, 0.4797843665768194, 0.6730085450478867, 0.17008534718286636
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.2021505376344086, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_SAMPLING, 82.0, 177.0, 194.0, 12.0, 0.941747572815534, 0.522911051212938, 0.7940872856569364, 0.23878114903900285
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.2021505376344086, RANDOM_FOREST, NO_FEATURES_SELECTION, OVER_SAMPLING, 0.0, 0.0, 371.0, 94.0, 0.7978494623655914, 1.0, 0.6236737970981246, 0.0
