Dataset, #TrainingRelease, %training, %Defective in training, %Defective in testing, Classifier, Feature Selection, Balancing, TP, FP, TN, FN, Precision, Recall, ROC Area, Kappa
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_SAMPLING, 1190.0, 32.0, 2.0, 0.0, 1.0, 0.058823529411764705, 0.45588235294117646, 0.10835913312693495
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, NAIVE_BAYES, NO_FEATURES_SELECTION, OVER_SAMPLING, 358.0, 22.0, 12.0, 832.0, 0.014218009478672985, 0.35294117647058826, 0.32226890756302523, -0.02754010695187166
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, NAIVE_BAYES, NO_FEATURES_SELECTION, UNDER_SAMPLING, 944.0, 10.0, 24.0, 246.0, 0.08888888888888889, 0.7058823529411765, 0.7887543252595156, 0.1141868512110727
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, NAIVE_BAYES, NO_FEATURES_SELECTION, SMOTE, 1167.0, 26.0, 8.0, 23.0, 0.25806451612903225, 0.23529411764705882, 0.42420909540286705, 0.2256365232660227
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, NAIVE_BAYES, BEST_FIRST, NO_SAMPLING, 1190.0, 34.0, 0.0, 0.0, NaN, 0.0, 0.9100098863074642, 0.0
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, NAIVE_BAYES, BEST_FIRST, OVER_SAMPLING, 1190.0, 24.0, 10.0, 0.0, 1.0, 0.29411764705882354, 0.6500247157686604, 0.44757033248081796
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, NAIVE_BAYES, BEST_FIRST, UNDER_SAMPLING, 1190.0, 13.0, 21.0, 0.0, 1.0, 0.6176470588235294, 0.81219723183391, 0.7585139318885459
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, NAIVE_BAYES, BEST_FIRST, SMOTE, 1190.0, 33.0, 1.0, 0.0, 1.0, 0.029411764705882353, 0.9100098863074642, 0.05564387917328909
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_SAMPLING, 1190.0, 25.0, 9.0, 0.0, 1.0, 0.2647058823529412, 0.9076866040533861, 0.41176470588235164
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, RANDOM_FOREST, NO_FEATURES_SELECTION, OVER_SAMPLING, 180.0, 11.0, 23.0, 1010.0, 0.022265246853823813, 0.6764705882352942, 0.5672268907563025, -0.011280471028448806
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, RANDOM_FOREST, NO_FEATURES_SELECTION, UNDER_SAMPLING, 57.0, 0.0, 34.0, 1133.0, 0.02913453299057412, 1.0, 0.9178695007414731, 0.0027871497726272556
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, RANDOM_FOREST, NO_FEATURES_SELECTION, SMOTE, 1190.0, 28.0, 6.0, 0.0, 1.0, 0.17647058823529413, 0.90914483440435, 0.2941176470588233
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, RANDOM_FOREST, BEST_FIRST, NO_SAMPLING, 1190.0, 13.0, 21.0, 0.0, 1.0, 0.6176470588235294, 0.8943771626297577, 0.7585139318885459
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, RANDOM_FOREST, BEST_FIRST, OVER_SAMPLING, 1190.0, 24.0, 10.0, 0.0, 1.0, 0.29411764705882354, 0.6500247157686604, 0.44757033248081796
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, RANDOM_FOREST, BEST_FIRST, UNDER_SAMPLING, 1190.0, 13.0, 21.0, 0.0, 1.0, 0.6176470588235294, 0.81219723183391, 0.7585139318885459
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, RANDOM_FOREST, BEST_FIRST, SMOTE, 1190.0, 13.0, 21.0, 0.0, 1.0, 0.6176470588235294, 0.9076866040533861, 0.7585139318885459
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, IBK, NO_FEATURES_SELECTION, NO_SAMPLING, 1189.0, 17.0, 17.0, 1.0, 0.9444444444444444, 0.5, 0.7497899159663866, 0.6470588235294127
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, IBK, NO_FEATURES_SELECTION, OVER_SAMPLING, 1179.0, 24.0, 10.0, 11.0, 0.47619047619047616, 0.29411764705882354, 0.6435739001482946, 0.3498452012383903
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, IBK, NO_FEATURES_SELECTION, UNDER_SAMPLING, 908.0, 5.0, 29.0, 282.0, 0.0932475884244373, 0.8529411764705882, 0.8132352941176471, 0.12425834887269016
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, IBK, NO_FEATURES_SELECTION, SMOTE, 1189.0, 17.0, 17.0, 1.0, 0.9444444444444444, 0.5, 0.7498022738507167, 0.6470588235294127
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, IBK, BEST_FIRST, NO_SAMPLING, 1190.0, 13.0, 21.0, 0.0, 1.0, 0.6176470588235294, 0.9100098863074642, 0.7585139318885459
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, IBK, BEST_FIRST, OVER_SAMPLING, 1190.0, 24.0, 10.0, 0.0, 1.0, 0.29411764705882354, 0.6500247157686604, 0.44757033248081796
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, IBK, BEST_FIRST, UNDER_SAMPLING, 1190.0, 13.0, 21.0, 0.0, 1.0, 0.6176470588235294, 0.81219723183391, 0.7585139318885459
OPENJPA, 1, 0.45768719539211344, 0.02032913843175218, 0.027777777777777776, IBK, BEST_FIRST, SMOTE, 1190.0, 13.0, 21.0, 0.0, 1.0, 0.6176470588235294, 0.9100098863074642, 0.7585139318885459
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_SAMPLING, 1244.0, 29.0, 3.0, 1.0, 0.75, 0.09375, 0.8188002008032128, 0.16200017499343722
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, NAIVE_BAYES, NO_FEATURES_SELECTION, OVER_SAMPLING, 1078.0, 25.0, 7.0, 167.0, 0.040229885057471264, 0.21875, 0.7530245983935743, 0.02676182688567284
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, NAIVE_BAYES, NO_FEATURES_SELECTION, UNDER_SAMPLING, 108.0, 2.0, 30.0, 1137.0, 0.02570694087403599, 0.9375, 0.7522590361445783, 0.0013265267588323502
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, NAIVE_BAYES, NO_FEATURES_SELECTION, SMOTE, 1236.0, 15.0, 17.0, 9.0, 0.6538461538461539, 0.53125, 0.7771962851405623, 0.5766967763321454
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, NAIVE_BAYES, BEST_FIRST, NO_SAMPLING, 1245.0, 32.0, 0.0, 0.0, NaN, 0.0, 0.8387424698795181, 0.0
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, NAIVE_BAYES, BEST_FIRST, OVER_SAMPLING, 1088.0, 14.0, 18.0, 157.0, 0.10285714285714286, 0.5625, 0.7624874497991968, 0.13736326682178526
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, NAIVE_BAYES, BEST_FIRST, UNDER_SAMPLING, 1114.0, 23.0, 9.0, 131.0, 0.06428571428571428, 0.28125, 0.7997740963855422, 0.06657363634637688
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, NAIVE_BAYES, BEST_FIRST, SMOTE, 1244.0, 30.0, 2.0, 1.0, 0.6666666666666666, 0.0625, 0.8436244979919679, 0.11046446306990293
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_SAMPLING, 1240.0, 19.0, 13.0, 5.0, 0.7222222222222222, 0.40625, 0.8404994979919679, 0.511180579922805
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, RANDOM_FOREST, NO_FEATURES_SELECTION, OVER_SAMPLING, 1017.0, 8.0, 24.0, 228.0, 0.09523809523809523, 0.75, 0.822402108433735, 0.13033993189819398
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, RANDOM_FOREST, NO_FEATURES_SELECTION, UNDER_SAMPLING, 988.0, 7.0, 25.0, 257.0, 0.08865248226950355, 0.78125, 0.8115712851405622, 0.11960932807562723
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, RANDOM_FOREST, NO_FEATURES_SELECTION, SMOTE, 1239.0, 17.0, 15.0, 6.0, 0.7142857142857143, 0.46875, 0.8581576305220884, 0.5572455793900828
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, RANDOM_FOREST, BEST_FIRST, NO_SAMPLING, 1236.0, 16.0, 16.0, 9.0, 0.64, 0.5, 0.8374497991967872, 0.5515458848979464
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, RANDOM_FOREST, BEST_FIRST, OVER_SAMPLING, 1024.0, 10.0, 22.0, 221.0, 0.09053497942386832, 0.6875, 0.7730045180722892, 0.12107632671181638
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, RANDOM_FOREST, BEST_FIRST, UNDER_SAMPLING, 1122.0, 8.0, 24.0, 123.0, 0.16326530612244897, 0.75, 0.8773845381526104, 0.23674232918900456
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, RANDOM_FOREST, BEST_FIRST, SMOTE, 1238.0, 17.0, 15.0, 7.0, 0.6818181818181818, 0.46875, 0.8175075301204819, 0.5462916358253147
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, IBK, NO_FEATURES_SELECTION, NO_SAMPLING, 1225.0, 17.0, 15.0, 20.0, 0.42857142857142855, 0.46875, 0.7261420682730924, 0.43291446128734107
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, IBK, NO_FEATURES_SELECTION, OVER_SAMPLING, 160.0, 4.0, 28.0, 1085.0, 0.025157232704402517, 0.875, 0.5017570281124498, 2.0130372922347602E-4
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, IBK, NO_FEATURES_SELECTION, UNDER_SAMPLING, 1070.0, 16.0, 16.0, 175.0, 0.08376963350785341, 0.5, 0.679718875502008, 0.10508279305954556
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, IBK, NO_FEATURES_SELECTION, SMOTE, 1225.0, 17.0, 15.0, 20.0, 0.42857142857142855, 0.46875, 0.7263930722891566, 0.43291446128734107
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, IBK, BEST_FIRST, NO_SAMPLING, 1232.0, 15.0, 17.0, 13.0, 0.5666666666666667, 0.53125, 0.7622866465863454, 0.5371631242395225
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, IBK, BEST_FIRST, OVER_SAMPLING, 135.0, 4.0, 28.0, 1110.0, 0.02460456942003515, 0.875, 0.6587725903614458, -9.287546666403984E-4
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, IBK, BEST_FIRST, UNDER_SAMPLING, 1129.0, 8.0, 24.0, 116.0, 0.17142857142857143, 0.75, 0.817808734939759, 0.24840994095422536
OPENJPA, 2, 0.6386530843237125, 0.024368630926007974, 0.025058731401722788, IBK, BEST_FIRST, SMOTE, 1231.0, 15.0, 17.0, 14.0, 0.5483870967741935, 0.53125, 0.7620607429718875, 0.5280436361782657
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_SAMPLING, 1288.0, 51.0, 2.0, 42.0, 0.045454545454545456, 0.03773584905660377, 0.725571002979146, 0.0067033756284407345
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, NAIVE_BAYES, NO_FEATURES_SELECTION, OVER_SAMPLING, 1259.0, 51.0, 2.0, 71.0, 0.0273972602739726, 0.03773584905660377, 0.6246488863668606, -0.013247657938985167
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, NAIVE_BAYES, NO_FEATURES_SELECTION, UNDER_SAMPLING, 2.0, 0.0, 53.0, 1328.0, 0.03837798696596669, 1.0, 0.8181302312384735, 1.1541585639653982E-4
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, NAIVE_BAYES, NO_FEATURES_SELECTION, SMOTE, 1279.0, 51.0, 2.0, 51.0, 0.03773584905660377, 0.03773584905660377, 0.7408426727195346, -6.10015605050722E-4
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, NAIVE_BAYES, BEST_FIRST, NO_SAMPLING, 1313.0, 52.0, 1.0, 17.0, 0.05555555555555555, 0.018867924528301886, 0.7666903106823663, 0.008911045334163873
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, NAIVE_BAYES, BEST_FIRST, OVER_SAMPLING, 1216.0, 49.0, 4.0, 114.0, 0.03389830508474576, 0.07547169811320754, 0.7047027947226557, -0.006446860280822565
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, NAIVE_BAYES, BEST_FIRST, UNDER_SAMPLING, 1213.0, 48.0, 5.0, 117.0, 0.040983606557377046, 0.09433962264150944, 0.7663640232657114, 0.003919805493838433
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, NAIVE_BAYES, BEST_FIRST, SMOTE, 1312.0, 52.0, 1.0, 18.0, 0.05263157894736842, 0.018867924528301886, 0.773606185274507, 0.007707919066850242
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_SAMPLING, 1328.0, 33.0, 20.0, 2.0, 0.9090909090909091, 0.37735849056603776, 0.8510568875017733, 0.5226001794995719
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, RANDOM_FOREST, NO_FEATURES_SELECTION, OVER_SAMPLING, 1187.0, 28.0, 25.0, 143.0, 0.1488095238095238, 0.4716981132075472, 0.747276209391403, 0.17837302621293433
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, RANDOM_FOREST, NO_FEATURES_SELECTION, UNDER_SAMPLING, 1170.0, 14.0, 39.0, 160.0, 0.19597989949748743, 0.7358490566037735, 0.8350475244715563, 0.2650402233203633
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, RANDOM_FOREST, NO_FEATURES_SELECTION, SMOTE, 1327.0, 32.0, 21.0, 3.0, 0.875, 0.39622641509433965, 0.8452262732302455, 0.5343299950936545
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, RANDOM_FOREST, BEST_FIRST, NO_SAMPLING, 1327.0, 30.0, 23.0, 3.0, 0.8846153846153846, 0.4339622641509434, 0.820187260604341, 0.5714688124994132
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, RANDOM_FOREST, BEST_FIRST, OVER_SAMPLING, 1140.0, 23.0, 30.0, 190.0, 0.13636363636363635, 0.5660377358490566, 0.7308341608738829, 0.16841736793520728
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, RANDOM_FOREST, BEST_FIRST, UNDER_SAMPLING, 1153.0, 15.0, 38.0, 177.0, 0.17674418604651163, 0.7169811320754716, 0.8256064690026954, 0.23664525921794788
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, RANDOM_FOREST, BEST_FIRST, SMOTE, 1327.0, 31.0, 22.0, 3.0, 0.88, 0.41509433962264153, 0.8585614980848347, 0.5531247624116162
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, IBK, NO_FEATURES_SELECTION, NO_SAMPLING, 1324.0, 22.0, 31.0, 6.0, 0.8378378378378378, 0.5849056603773585, 0.8039012625904384, 0.6787669641968341
